Aalto University																									
Internal Combustion Engine Laboratory																									
Engine: 44AWI																									
Project: Hercules																									
Reference: RCP Test Run																									
Operator: Jari																									
2017.05.18																									
Time(hh:mm:ss)	SpeedSet(rpm)	SpeedMea(rpm)	TorqSet(Nm)	TorqMea(Nm)	InManPSet(bar)	InManPMea(bar)	InManTMea(C)	ExManPMea(bar)	ExManTMea(C)	FRailPSet(bar)	FRailPCtrl(V)	FRailPMea(bar)	InjStrtSet(deg)	InjQuantSet(mg)	VGTPosSet(V)	VGTPosMea(V)	FMfClc(g/h)	AFRMea(AFR)	NOxMea(Vol%)	ExAirTMea(C)	AmbPMea(bar)	AmbRHMea(%RH)	AmbTMea(C)	IntPMea(bard)	ChargeAirTMea(C)
01:21.6	1300	1324.766479	100	100.0132	0.075491	0.058948	15.397976	0.319725	231.682865	750	4.233415	885.214083	2.651324	20.619121	2.823013	2.770884	2902.28249	-11.866825	0	217.01952	1.019297	30.293551	30.266508	0.016514	42.228843
01:21.7	1300	1315.57312	100	98.627842	0.071603	-0.379767	15.397976	-0.06661	231.682865	750	4.234468	885.214083	2.771317	19.856505	2.831768	2.776036	2902.28249	-11.866825	0	217.01952	1.019297	30.293551	30.266508	0.016514	42.228843
01:21.8	1300	1303.865845	100	101.398558	0.07154	0.065343	15.548978	0.073577	231.855795	750	4.275952	879.033386	2.785669	19.800022	2.817596	2.765732	3162.174975	-11.879004	0	217.158074	1.020101	27.691345	29.798861	0.016514	42.352677
01:21.9	1300	1286.214966	100	100.0132	0.067761	0.053291	15.548978	0.234055	231.855795	750	4.28722	806.925252	2.921319	18.875865	2.580956	2.791492	3162.174975	-11.879004	0	217.158074	1.020101	27.691345	29.798861	0.016514	42.352677
01:22.0	1300	1317.609741	100	102.783916	0.068992	0.097646	15.548978	0.085465	231.855795	750	4.29514	841.949203	2.925456	18.858499	2.784097	2.765732	2977.688862	-11.879004	0	217.158074	1.020101	27.691345	29.798861	0.016514	42.352677
01:22.1	1300	1304.971924	100	101.398558	0.06498	0.07018	15.553365	0.181587	232.032495	750	4.266834	868.732224	2.732442	20.145085	2.779437	2.781188	2977.688862	-11.864795	0	217.142739	1.019833	30.260767	29.707053	0.016469	42.504052
01:22.2	1300	1286.297729	100	100.0132	0.067993	0.079691	15.553365	0.264798	232.032495	750	4.290549	893.455013	2.958479	18.58263	2.800857	2.776036	2928.430606	-11.864795	0	217.142739	1.019833	30.260767	29.707053	0.016469	42.504052
01:22.3	1300	1320.480713	100	98.627842	0.073809	0.191932	15.64382	0.077881	231.978991	750	4.312719	909.936872	2.892423	19.026792	2.7853	2.776036	2928.430606	-11.868855	0	217.236908	1.019565	29.185052	26.548281	0.01656	42.440518
01:22.4	1300	1304.461182	100	98.627842	0.065914	0.089529	15.64382	0.065174	231.978991	750	4.336005	903.756175	2.74935	20.021092	2.794426	2.776036	3154.057517	-11.868855	0	217.236908	1.019565	29.185052	26.548281	0.01656	42.440518
01:22.5	1300	1289.365967	100	100.0132	0.064085	0.047388	15.537171	0.222783	232.018731	750	4.356887	835.768506	2.959831	18.583592	2.857362	2.770884	3154.057517	-11.87596	0	217.224908	1.019833	28.025329	30.105844	0.016469	42.52365
01:22.6	1300	1311.260498	100	98.627842	0.063854	0.071738	15.537171	0.208231	232.018731	750	4.366868	800.744555	3.056652	17.888099	2.812673	2.750275	2915.804132	-11.87596	0	217.224908	1.019833	28.025329	30.105844	0.016469	42.52365
01:22.7	1300	1312.034546	100	98.627842	0.062808	0.066737	15.453862	0.171954	231.972051	750	4.342854	757.479674	2.937375	18.659376	2.792552	2.791492	2915.804132	-11.866825	0	217.146452	1.019833	30.389853	29.402939	0.016605	42.427561
01:22.8	1300	1296.890747	100	98.627842	0.06301	0.45093	15.453862	0.117232	231.972051	750	4.33103	784.262696	2.747927	19.945565	2.804347	2.76058	2953.270816	-11.866825	0	217.146452	1.019833	30.389853	29.402939	0.016605	42.427561
01:22.9	1300	1295.79834	100	98.627842	0.063682	0.092563	15.542959	0.001434	232.042702	750	4.311824	808.985484	2.93029	18.70299	2.802002	2.776036	2953.270816	-11.874945	0	217.129809	1.019833	28.2835	29.322606	0.01656	42.481409
01:23.0	1300	1309.714844	100	98.627842	0.069296	0.064687	15.319007	0.081775	232.13055	750	4.326954	846.069668	2.906531	18.868069	3.00732	2.765732	3079.510586	-11.786644	0	217.163383	1.020101	29.635828	30.355447	0.016605	42.295672
01:23.1	1300	1309.457642	100	101.398558	0.062023	0.062719	15.319007	-0.080342	232.13055	750	4.343201	848.1299	2.776846	19.749162	2.848947	2.781188	3079.510586	-11.786644	0	217.163383	1.020101	29.635828	30.355447	0.016605	42.295672
01:23.2	1300	1313.801514	100	98.627842	0.058459	0.093792	15.319007	0.099606	232.13055	750	4.368204	874.912921	3.007925	18.125908	2.838323	2.781188	2892.625053	-11.786644	0	217.163383	1.020101	29.635828	30.355447	0.016605	42.295672
01:23.3	1300	1301.61731	100	98.627842	0.063347	0.072066	15.588922	0.102476	232.16283	750	4.377326	889.334548	2.916507	18.713355	2.835129	2.770884	2892.625053	-11.870885	0	217.268642	1.019833	28.310137	28.628308	0.016469	42.511757
01:23.4	1300	1307.2323	100	100.0132	0.0681	0.069196	15.588922	0.295131	232.16283	750	4.400011	864.611759	2.778814	19.675122	2.849333	2.776036	3032.708767	-11.870885	0	217.268642	1.019833	28.310137	28.628308	0.016469	42.511757
01:23.5	1300	1286.463257	100	100.0132	0.059486	0.085758	15.621893	0.076242	232.196241	750	4.418232	860.491294	3.028925	17.976604	2.844371	2.770884	3032.708767	-11.885094	0	217.30037	1.019833	29.244472	31.414109	0.01656	42.504908
01:23.6	1300	1298.659058	100	100.0132	0.065219	0.066901	15.621893	0.30128	232.196241	750	4.416451	802.804787	2.912491	18.753626	2.84076	2.770884	2976.160115	-11.885094	0	217.30037	1.019833	29.244472	31.414109	0.01656	42.504908
01:23.7	1300	1314.276245	100	97.242485	0.061685	0.081904	15.444889	0.02029	232.11357	750	4.42377	740.997815	2.92551	18.667977	2.851977	2.781188	2976.160115	-11.872915	0	217.335304	1.020101	28.728129	30.148879	0.016514	42.428788
01:23.8	1300	1308.943359	100	98.627842	0.065518	0.102155	15.444889	0.057386	232.11357	750	4.401731	699.793167	2.962196	18.413249	2.841692	2.770884	2902.226707	-11.872915	0	217.335304	1.020101	28.728129	30.148879	0.016514	42.428788
01:23.9	1300	1323.539062	100	101.398558	0.067877	0.061325	15.557465	0.244303	232.076476	750	4.372653	666.829449	2.968166	18.357402	2.848656	2.781188	2902.226707	-11.87596	0	217.207584	1.019833	27.045916	29.245143	0.016514	42.446769
01:24.0	1300	1314.146729	100	100.0132	0.073247	0.056898	15.557465	0.127685	232.076476	750	4.349583	656.528287	2.933065	18.584437	2.857886	2.76058	3038.625901	-11.87596	0	217.207584	1.019833	27.045916	29.245143	0.016514	42.446769
01:24.1	1300	1307.787964	100	98.627842	0.067627	0.073214	15.416118	0.181587	232.050877	750	4.327544	681.251076	2.732575	19.950677	2.841223	2.78634	3038.625901	-11.87596	0	217.125272	1.020101	28.965811	31.167375	0.016741	42.573206
01:24.2	1300	1285.388306	100	98.627842	0.067832	0.080101	15.416118	0.058206	232.050877	750	4.315034	705.973864	2.980098	18.261406	2.838189	2.76058	2942.636665	-11.87596	0	217.125272	1.020101	28.965811	31.167375	0.016741	42.573206
01:24.3	1300	1314.881226	100	101.398558	0.068427	0.054356	15.473877	0.262134	231.93308	750	4.320568	747.178512	2.994115	18.128123	2.845793	2.781188	2942.636665	-11.893214	0	217.302765	1.020369	29.568211	28.154922	0.01656	42.51724
01:24.4	1300	1299.756226	100	100.0132	0.067949	0.062719	15.473877	-0.062306	231.93308	750	4.328278	755.419442	2.983077	18.160503	2.850181	2.770884	2925.220034	-11.893214	0	217.302765	1.020369	29.568211	28.154922	0.01656	42.51724
01:24.5	1300	1282.667969	100	98.627842	0.070656	0.092153	15.416554	0.21356	231.768908	750	4.346928	786.322928	2.894562	18.743236	2.835783	2.781188	2925.220034	-11.864795	0	217.12733	1.020904	30.049722	26.766325	0.01656	42.387732
01:24.6	1300	1302.84668	100	101.398558	0.070387	0.128965	15.330994	0.182817	231.75899	750	4.351157	796.62409	2.965049	18.246151	2.8391	2.776036	3073.647389	-11.877989	0	217.062403	1.019833	28.683052	31.305087	0.01656	42.625156
01:24.7	1300	1304.844238	100	98.627842	0.072922	0.075099	15.330994	0.278735	231.75899	750	4.368348	773.961534	2.948956	18.362048	2.853031	2.791492	3073.647389	-11.877989	0	217.062403	1.019833	28.683052	31.305087	0.01656	42.625156
01:24.8	1300	1307.958984	100	101.398558	0.069929	0.056324	15.330994	0.074602	231.75899	750	4.376954	745.11828	2.996031	18.010243	2.876195	2.801796	2838.920159	-11.877989	0	217.062403	1.019833	29.422734	31.305087	0.01656	42.625156
01:24.9	1300	1312.077637	100	101.398558	0.073162	0.08215	15.540906	0.141622	231.659274	750	4.368564	683.311308	3.067728	17.480834	2.850186	2.817253	2838.920159	-11.872915	0	217.421327	1.019833	29.422734	30.487421	0.01656	42.543639
01:25.0	1300	1300.390137	100	100.0132	0.07612	0.098056	15.557624	0.305788	231.569954	750	4.354937	654.468054	2.950268	18.263119	2.838575	2.806948	3011.808592	-11.884079	0	217.174583	1.020636	28.396194	31.586249	0.016605	42.55928
01:25.1	1300	1280.122803	100	98.627842	0.074868	0.058292	15.557624	-0.012093	231.569954	750	4.321052	668.889681	3.056889	17.511264	2.851593	2.832709	3011.808592	-11.884079	0	217.174583	1.020636	28.396194	31.586249	0.016605	42.55928
01:25.2	1300	1299.629639	100	100.0132	0.082455	0.078625	15.557624	0.015986	231.569954	750	4.299871	701.8534	2.989015	17.959475	2.856706	2.827557	2869.536081	-11.884079	0	217.174583	1.020636	28.396194	31.586249	0.016605	42.55928
01:25.3	1300	1302.804199	100	98.627842	0.070306	0.102401	15.432268	0.269512	231.478302	750	4.299722	697.732935	2.957276	18.180141	2.843048	2.863622	2869.536081	-11.87393	0	217.132103	1.019833	29.527232	27.58686	0.01656	42.679752
01:25.4	1300	1282.092407	100	98.627842	0.069592	0.05944	15.432268	-0.072554	231.478302	750	4.310818	722.455724	2.967517	18.084968	2.853447	2.843013	2759.744939	-11.87393	0	217.132103	1.019833	29.527232	27.58686	0.01656	42.679752
01:25.5	1300	1313.628784	100	101.398558	0.075149	0.064195	15.57595	0.047548	231.547762	750	4.304574	677.130611	2.872372	18.706929	2.864068	2.863622	2759.744939	-11.877989	0	217.090828	1.019565	27.994594	28.542238	0.016514	42.605541
01:25.6	1300	1298.743408	100	100.0132	0.077628	0.067474	15.57595	0.065789	231.547762	750	4.31361	637.986195	2.885112	18.616577	2.841726	2.858469	3014.616707	-11.877989	0	217.090828	1.019565	27.994594	28.542238	0.01665	42.605541
01:25.7	1300	1305.781372	100	98.627842	0.08082	0.151184	15.434688	0.003688	231.573237	750	4.286763	650.34759	2.759129	19.493553	2.841057	2.832709	3014.616707	-11.838406	0	217.097414	1.020636	28.635925	28.22091	0.01665	42.644214
01:25.8	1300	1299.418457	100	98.627842	0.073913	0.076411	15.419992	0.050623	231.635953	750	4.259488	685.37154	2.938469	18.268563	2.845189	2.858469	2859.69926	-11.874945	0	217.063277	1.020636	29.275207	30.940724	0.016514	42.601953
01:25.9	1300	1305.44043	100	100.0132	0.080828	0.061079	15.419992	0.330383	231.635953	750	4.256849	691.552238	2.922087	18.374946	2.886249	2.853317	2859.69926	-11.874945	0	217.063277	1.020636	29.275207	30.940724	0.016514	42.601953
01:26.0	1300	1291.322266	100	101.398558	0.087606	0.08543	15.419992	0.114363	231.635953	750	4.267516	705.973864	2.906437	18.473093	2.847939	2.848165	2918.610679	-11.874945	0	217.063277	1.020636	29.275207	30.940724	0.016514	42.601953
01:26.1	1300	1296.764526	100	100.0132	0.078774	0.076903	15.580494	0.06292	231.56381	750	4.265375	660.648752	2.887487	18.604891	2.843486	2.858469	2918.610679	-11.890169	0	217.197394	1.019833	29.449371	28.16066	0.016514	42.614289
01:26.2	1300	1309.286133	100	98.627842	0.076737	0.062145	15.580494	0.25619	231.56381	750	4.268402	646.227125	2.889255	18.611029	2.856305	2.843013	3071.494509	-11.890169	0	217.197394	1.019833	29.449371	28.16066	0.016514	42.614289
01:26.3	1300	1293.11731	100	101.398558	0.083496	0.102483	15.53049	0.092228	231.495718	750	4.240182	683.311308	2.739576	19.660608	2.848749	2.853317	3071.494509	-11.876975	0	217.237028	1.020369	30.369363	30.074285	0.016605	42.657845
01:26.4	1300	1320.785889	100	101.398558	0.079772	0.07141	15.53049	0.10514	231.495718	750	4.224924	868.732224	2.882346	18.719485	2.842223	2.843013	2913.951823	-11.876975	0	217.237028	1.020369	30.369363	30.074285	0.016605	42.657845
01:26.5	1300	1303.483643	100	98.627842	0.083117	0.081822	15.415876	0.100016	231.52503	750	4.236364	730.696653	2.953169	18.239242	2.860792	2.858469	2913.951823	-11.885094	0	217.120856	1.019833	29.754669	29.032837	0.01656	42.593623
01:26.6	1300	1304.163574	100	98.627842	0.080734	0.06936	15.415876	0.162937	231.52503	750	4.331243	712.154562	2.942868	18.280313	2.846865	2.863622	2803.418785	-11.885094	0	217.120856	1.019833	29.754669	29.032837	0.01656	42.593623
01:26.7	1300	1295.210937	100	100.0132	0.079716	0.073951	15.515121	0.155148	231.365312	750	4.266368	675.070378	2.985564	17.968136	2.85228	2.843013	2803.418785	-11.872915	0	217.092997	1.019297	29.070309	28.177874	0.01656	42.628317
01:26.8	1300	1298.364136	100	98.627842	0.073337	0.081494	15.515121	0.061485	231.365312	750	4.254716	689.492005	2.876766	18.715889	2.84916	2.863622	2861.014076	-11.872915	0	217.092997	1.019297	29.070309	28.177874	0.01656	42.628317
01:26.9	1300	1301.109131	100	100.0132	0.076999	0.062391	15.41985	0.320135	231.239592	750	4.231475	726.576188	2.807881	19.201391	2.849332	2.843013	2861.014076	-11.86581	0	217.065918	1.019565	28.580603	31.316563	0.016514	42.554379
01:27.0	1300	1316.265747	100	98.627842	0.084183	0.079363	15.41985	0.107804	231.239592	750	4.233042	743.058048	2.794284	19.301072	2.849272	2.858469	2873.437317	-11.86581	0	217.065918	1.019565	28.580603	31.316563	0.016514	42.554379
01:27.1	1300	1297.942749	100	101.398558	0.07159	0.047961	15.460586	0.101656	231.215638	750	4.248087	761.600139	2.983173	18.008251	2.845522	2.853317	2873.437317	-11.884079	0	217.046486	1.019565	29.156366	27.899581	0.016514	42.66972
01:27.2	1300	1299.756226	100	101.398558	0.079899	0.070016	15.460586	0.291852	231.215638	750	4.255063	703.913632	2.947405	18.212648	2.849448	2.853317	2815.568074	-11.884079	0	217.046486	1.019565	29.156366	27.899581	0.016514	42.66972
01:27.3	1300	1289.615356	100	100.0132	0.077646	0.102401	15.516976	0.14736	231.245997	750	4.264528	681.251076	2.863187	18.766496	2.833615	2.868774	2815.568074	-11.885094	0	217.115023	1.019297	29.644024	29.577948	0.01656	42.714779
01:27.4	1300	1302.931641	100	101.398558	0.081862	0.060178	15.54134	0.173799	231.155251	750	4.234248	708.034097	2.954956	18.129498	2.840803	2.848165	2827.260109	-11.827242	0	217.192659	1.019565	30.008742	30.108713	0.01665	42.53975
01:27.5	1300	1302.592163	100	101.398558	0.067342	0.079691	15.54134	0.193884	231.155251	750	4.218132	734.817118	2.836318	18.954795	2.865223	2.858469	2827.260109	-11.827242	0	217.192659	1.019565	30.008742	30.108713	0.01665	42.53975
01:27.6	1300	1296.596436	100	98.627842	0.076746	0.053045	15.54134	0.151049	231.155251	750	4.22691	763.660372	2.731144	19.663199	2.84018	2.863622	2813.814982	-11.827242	0	217.192659	1.019565	30.008742	30.108713	0.01665	42.53975
01:27.7	1300	1299.756226	100	100.0132	0.083341	0.075345	15.354165	-0.13158	231.022996	750	4.23792	753.35921	2.95775	18.125797	2.845796	2.832709	2813.814982	-11.891184	0	216.970257	1.020101	29.543624	28.154922	0.016696	42.680453
01:27.8	1300	1275.184814	100	101.398558	0.074863	0.095268	15.484375	0.039145	231.270408	750	4.252278	701.8534	2.959259	18.34921	2.835651	2.863622	2789.822082	-11.862765	0	217.351265	1.019833	28.678954	29.463188	0.016605	42.680453
01:27.7	1300	1297.563843	100	100.0132	0.075237	0.066409	15.484375	0.316856	231.270408	750	4.247837	740.997815	3.039841	17.50446	2.84571	2.843013	2789.822082	-11.862765	0	217.351265	1.019833	28.678954	29.463188	0.016605	42.678645
01:27.8	1300	1318.869629	100	100.0132	0.075614	0.070918	15.484375	-0.057182	231.270408	750	4.220218	757.479674	2.966115	17.984923	2.856306	2.863622	2725.578508	-11.862765	0	217.351265	1.019833	28.678954	29.463188	0.016605	42.678645
01:27.9	1300	1279.672485	100	101.398558	0.066531	0.064031	15.554397	0.047138	231.346605	750	4.237409	798.684322	2.896146	18.489399	2.847232	2.843013	2725.578508	-11.86378	0	217.255308	1.019297	28.580603	31.735438	0.016514	42.687991
01:28.0	1300	1303.908447	100	98.627842	0.074266	0.068786	15.398326	0.259264	231.111374	750	4.245586	784.262696	2.732639	19.640375	2.845474	2.863622	2991.473518	-11.874945	0	217.112396	1.019833	30.189053	30.34684	0.016469	42.709712
01:28.1	1300	1289.573853	100	98.627842	0.082363	0.094612	15.398326	0.038735	231.111374	750	4.268529	734.817118	2.871493	18.724829	2.837079	2.837861	2991.473518	-11.874945	0	217.112396	1.019833	30.189053	30.34684	0.016469	42.709712
01:28.2	1300	1279.877075	100	100.0132	0.071555	0.068622	15.398326	0.1035	231.111374	750	4.264774	732.756886	2.884489	18.649269	2.843981	2.858469	3068.926719	-11.874945	0	217.112396	1.019833	30.189053	30.34684	0.016469	42.709712
01:28.3	1300	1296.17627	100	101.398558	0.082437	0.067065	15.371779	0.356002	231.221418	750	4.240847	767.780836	2.809835	19.168969	2.851845	2.853317	3068.926719	-11.862765	0	217.183083	1.020101	28.822382	28.711509	0.016741	42.696056
01:28.4	1300	1298.448364	100	101.398558	0.077928	0.087233	15.371779	0.039145	231.221418	750	4.238465	794.563858	2.907322	18.511887	2.841224	2.843013	2848.895713	-11.862765	0	217.183083	1.020101	28.822382	28.711509	0.016741	42.696056
01:28.7	1300	1279.099609	100	98.627842	0.082299	0.055832	15.493351	0.108829	231.285779	750	4.256	817.226414	2.905191	18.510303	2.837238	2.868774	2848.895713	-11.864795	0	217.171926	1.019833	28.420782	30.249294	0.016605	42.772961
01:28.8	1300	1310.272583	100	100.0132	0.073517	0.06854	15.493351	0.252091	231.285779	750	4.271989	757.479674	2.998615	17.885989	2.85165	2.843013	3017.368776	-11.864795	0	217.171926	1.019833	28.420782	30.249294	0.016605	42.772961
01:28.9	1300	1283.491089	100	100.0132	0.076121	0.096416	15.587316	0.171545	231.257895	750	4.287978	726.576188	2.875194	18.713855	2.834373	2.863622	3017.368776	-11.886109	0	217.305765	1.020101	29.758767	29.466057	0.01665	42.822697
01:29.0	1300	1285.181763	100	97.242485	0.083818	0.052881	15.587316	0.101451	231.257895	750	4.261217	747.178512	2.896302	18.552136	2.835397	2.827557	2796.654451	-11.886109	0	217.305765	1.020101	29.758767	29.466057	0.01665	42.822697
01:29.1	1300	1297.774414	100	98.627842	0.073643	0.071246	15.373279	0.292876	231.251293	750	4.245101	782.202463	2.878021	18.692343	2.854735	2.858469	2796.654451	-11.85972	0	217.172753	1.019029	29.471909	30.610789	0.01656	42.644415
01:29.2	1300	1276.202026	100	98.627842	0.070732	0.10937	15.373279	0.165191	231.251293	750	4.254309	800.744555	3.023396	17.722181	2.834627	2.848165	3036.311063	-11.85972	0	217.172753	1.019029	29.471909	30.610789	0.01656	42.644415
01:29.3	1300	1305.994507	100	100.0132	0.071205	0.059194	15.468119	0.163961	231.274349	750	4.273045	815.166182	2.735948	19.698634	2.842831	2.863622	3036.311063	-11.881034	0	217.148846	1.019565	30.05382	28.656998	0.016514	42.632591
01:29.4	1300	1284.975464	100	100.0132	0.072057	0.072968	15.69101	0.132604	231.29437	750	4.285772	745.11828	2.907218	18.545909	2.863024	2.858469	2831.842454	-11.880019	0	217.306474	1.019565	27.230324	29.379987	0.016514	42.818625
01:29.5	1300	1303.823486	100	100.0132	0.073267	0.075017	15.69101	0.125225	231.29437	750	4.297813	718.335259	2.891136	18.653773	2.838299	2.858469	2831.842454	-11.880019	0	217.306474	1.019565	27.230324	29.379987	0.016514	42.818625
01:29.6	1300	1292.240112	100	98.627842	0.073251	0.393621	15.69101	0.111494	231.29437	750	4.265301	749.238745	2.911105	18.497702	2.844596	2.848165	2800.504336	-11.880019	0	217.306474	1.019565	27.230324	29.379987	0.016514	42.818625
01:29.7	1300	1305.909302	100	101.398558	0.080715	0.075837	15.446219	0.141007	231.221225	750	4.250386	778.081998	2.806273	19.215903	2.84164	2.858469	2800.504336	-11.877989	0	217.35634	1.019833	30.197249	26.720421	0.016605	42.67181
01:29.8	1300	1299.925293	100	95.857127	0.068983	0.064933	15.446219	0.117642	231.221225	750	4.264487	804.86502	2.874051	18.759662	3.020096	2.843013	2870.984787	-11.877989	0	217.35634	1.019833	30.197249	26.720421	0.016605	42.67181
01:29.9	1300	1309.543213	100	100.0132	0.073842	-0.16701	15.434063	0.206591	231.355702	750	4.280047	829.587808	2.731144	19.756505	2.872385	2.858469	2870.984787	-11.86987	0	217.247057	1.019297	29.799746	30.102975	0.016514	42.742324
01:30.0	1300	1306.506348	100	98.627842	0.064197	0.073624	15.562905	0.16806	231.366127	750	4.296895	780.142231	2.824403	18.547215	2.871869	2.843013	2903.794093	-11.881034	0	217.307156	1.019833	29.93293	28.005734	0.016514	42.680183
01:30.1	1300	1322.182861	100	98.627842	0.069961	0.065261	15.562905	0.185481	231.366127	750	4.314858	730.696653	2.920413	18.43488	2.743172	2.858469	2903.794093	-11.881034	0	217.307156	1.019833	29.93293	28.005734	0.016514	42.680183
01:30.2	1300	1313.715088	100	102.783916	0.072854	0.069114	15.562905	0.203722	231.366127	750	4.294708	747.178512	2.938025	18.277695	2.852201	2.848165	2871.992953	-11.881034	0	217.307156	1.019833	29.93293	28.005734	0.016514	42.680183
01:30.3	1300	1300.855347	100	101.398558	0.067933	0.087315	15.431424	0.162732	231.33439	750	4.270436	763.660372	2.869908	18.751636	2.850401	2.858469	2871.992953	-11.890169	0	217.336483	1.020101	29.824334	29.156204	0.01656	42.62968
01:30.4	1300	1283.449951	100	102.783916	0.072749	0.060833	15.431424	0.1697	231.33439	750	4.277755	796.62409	2.874474	18.751607	2.849657	2.858469	3051.73123	-11.890169	0	217.336483	1.020101	29.824334	29.156204	0.016605	42.62968
01:30.5	1300	1308.814819	100	98.627842	0.070633	0.074033	15.454617	0.163142	231.380718	750	4.286448	806.925252	2.89284	18.649214	2.860359	2.853317	3051.73123	-11.86987	0	217.3086	1.020101	28.916635	26.568364	0.016605	42.614646
01:30.6	1300	1305.014648	100	100.0132	0.077582	0.062965	15.454617	0.091613	231.380718	750	4.305442	771.901301	2.915769	18.522939	2.843641	2.858469	2914.698931	-11.86987	0	217.3086	1.020101	28.916635	26.568364	0.016605	42.614646
01:30.7	1300	1319.304687	100	101.398558	0.069283	0.088135	15.347574	0.115798	231.321783	750	4.314907	716.275026	2.830665	19.11002	2.85389	2.853317	2914.698931	-11.883064	0	217.303873	1.020101	29.769012	29.176287	0.016469	42.532624
01:30.8	1300	1311.518311	100	98.627842	0.072395	0.063047	15.347574	0.185071	231.321783	750	4.300679	743.058048	2.891354	18.713199	2.846605	2.848165	2880.625797	-11.883064	0	217.303873	1.020101	29.769012	29.176287	0.016469	42.532624
01:30.9	1300	1307.317749	100	98.627842	0.071745	0.074279	15.471577	-0.020496	231.407244	750	4.272374	751.298977	2.927277	18.459085	2.859805	2.853317	2880.625797	-11.86987	0	217.333863	1.019833	28.676905	31.385419	0.016605	42.539508
01:31.0	1300	1280.450806	100	98.627842	0.075218	0.08584	15.331135	0.122356	231.38993	750	4.284071	792.503625	2.8839	18.736822	2.845701	2.837861	2899.953462	-11.885094	0	217.374899	1.020636	28.410537	31.385419	0.01656	42.72447
01:31.1	1300	1310.057983	100	98.627842	0.075051	0.061571	15.331135	0.209666	231.38993	750	4.287956	802.804787	2.916044	18.508409	2.850861	2.853317	2899.953462	-11.885094	0	217.374899	1.020636	28.410537	28.309849	0.01656	42.72447
01:31.2	1300	1304.759155	100	101.398558	0.074436	0.067311	15.331135	-0.02562	231.38993	750	4.310383	761.600139	2.893024	18.667901	2.857392	2.837861	2861.099872	-11.885094	0	217.374899	1.020636	28.410537	28.309849	0.01656	42.72447
01:31.3	1300	1321.004028	100	101.398558	0.071191	0.102729	15.317566	0.100631	231.313232	750	4.319505	712.154562	2.816079	19.217238	2.846954	2.858469	2861.099872	-11.877989	0	217.335861	1.020369	28.799843	27.979913	0.016605	42.468376
01:31.4	1300	1311.647461	100	100.0132	0.073279	0.059768	15.450596	0.243073	231.45311	750	4.301586	712.154562	2.984033	18.079703	2.84813	2.843013	2849.521984	-11.877989	0	217.358154	1.019565	28.359313	30.886213	0.016424	42.496554
01:31.5	1300	1304.716431	100	98.627842	0.071745	0.045338	15.450596	-0.06866	231.45311	750	4.27577	728.636421	2.890658	18.693108	2.867649	2.863622	2849.521984	-11.877989	0	217.358154	1.019565	28.359313	30.886213	0.016424	42.496554
01:31.6	1300	1301.744385	100	101.398558	0.070854	0.064851	15.450596	0.269307	231.45311	750	4.272616	753.35921	2.892685	19.545994	2.847443	2.853317	2812.794331	-11.877989	0	217.358154	1.019565	28.359313	30.886213	0.016424	42.496554
01:31.7	1300	1308.900513	100	100.0132	0.075667	0.073788	15.26714	0.138752	231.277263	750	4.27839	778.081998	2.824429	19.157001	2.836096	2.863622	2812.794331	-11.66282	0	217.392471	1.020101	29.476007	27.928271	0.01656	42.519478
01:31.8	1300	1304.588867	100	100.0132	0.077661	0.058128	15.26714	0.096532	231.277263	750	4.290001	808.985484	2.887187	18.733897	2.843058	2.848165	2854.26723	-11.66282	0	217.392471	1.020101	29.476007	27.928271	0.01656	42.519478
01:31.9	1300	1318.869629	100	100.0132	0.074683	0.059686	15.500164	0.32034	231.467694	750	4.303673	769.841069	2.794848	19.367615	2.848444	2.863622	2854.26723	-11.868855	0	217.58242	1.019833	28.910488	27.340126	0.016605	42.827492
01:32.0	1300	1297.311279	100	101.398558	0.06999	0.063457	15.500164	0.089359	231.467694	750	4.322752	726.576188	3.049068	18.140674	2.842429	2.843013	2947.736073	-11.868855	0	217.58242	1.019833	28.910488	27.340126	0.016605	42.827492
01:32.1	1300	1304.248657	100	100.0132	0.068677	0.058784	15.334479	0.210486	231.388864	750	4.306465	679.190843	2.934883	18.372456	2.842996	2.863622	2947.736073	-11.86784	0	217.513415	1.019029	30.164465	29.566472	0.016514	42.4951
01:32.2	1300	1281.024902	100	101.398558	0.07188	0.049191	15.409391	0.122151	231.414983	750	4.284683	701.8534	2.741729	19.657877	2.842555	2.843013	2763.280714	-11.86784	0	217.440883	1.019565	30.451322	30.143141	0.01656	42.648799
01:32.3	1300	1308.343994	100	101.398558	0.076298	0.084036	15.409391	0.026438	231.414983	750	4.257064	730.696653	2.919583	18.450055	2.836928	2.848165	2763.280714	-11.86784	0	217.440883	1.019565	30.451322	30.143141	0.01656	42.648799
01:32.4	1300	1303.05896	100	98.627842	0.076437	0.069524	15.409391	0.303944	231.414983	750	4.263439	751.298977	2.927873	18.413071	2.830197	2.848165	3067.37922	-11.86784	0	217.440883	1.019565	30.451322	30.143141	0.01656	42.648799
01:32.5	1300	1286.380371	100	100.0132	0.083004	0.052881	15.495849	0.288163	231.258719	750	4.27505	769.841069	2.954048	18.235989	2.843244	2.858469	3067.37922	-11.868855	0	217.520614	1.019565	30.379608	29.750088	0.01665	42.584538
