Aalto University																									
Internal Combustion Engine Laboratory																									
Engine: 44AWI																									
Project: Hercules																									
Reference: RCP Test Run																									
Operator: Jari																									
2017.05.18																									
Time(hh:mm:ss)	SpeedSet(rpm)	SpeedMea(rpm)	TorqSet(Nm)	TorqMea(Nm)	InManPSet(bar)	InManPMea(bar)	InManTMea(C)	ExManPMea(bar)	ExManTMea(C)	FRailPSet(bar)	FRailPCtrl(V)	FRailPMea(bar)	InjStrtSet(deg)	InjQuantSet(mg)	VGTPosSet(V)	VGTPosMea(V)	FMfClc(g/h)	AFRMea(AFR)	NOxMea(Vol%)	ExAirTMea(C)	AmbPMea(bar)	AmbRHMea(%RH)	AmbTMea(C)	IntPMea(bard)	ChargeAirTMea(C)
59:51.1	1300	1282.873657	100	98.627842	0.08582	0.061325	15.77099	-0.02234	227.836059	1050	4.047971	1033.550816	2.913262	18.626913	2.866328	2.858469	3000.804837	-11.87393	0	212.745374	1.019833	30.236179	26.625744	0.016605	43.366075
59:51.2	1300	1309.843384	100	101.398558	0.07486	0.079609	15.842271	0.081775	227.745399	1050	4.075357	1080.936161	2.850886	19.073182	2.862004	2.843013	2964.804418	-11.886109	0	212.696537	1.019565	29.781306	28.292635	0.016605	43.280711
59:51.3	1300	1311.776367	100	101.398558	0.088055	0.064605	16.043144	0.209051	227.667818	1050	4.076819	1054.15314	2.823404	19.279369	2.851812	2.863622	2915.9182	-11.86581	0	212.660379	1.019029	29.176856	29.035706	0.01656	43.381711
59:51.4	1300	1290.822388	100	101.398558	0.076453	0.007378	15.832235	-0.042631	227.532526	1050	4.101116	977.924541	2.998343	18.078181	2.865773	2.843013	2781.374742	-11.864795	0	212.679779	1.019565	31.275013	28.232386	0.01656	43.317191
59:51.5	1300	1314.751587	100	102.783916	0.079056	0.073214	15.917284	0.053082	227.39107	1050	4.089186	957.322217	2.915294	18.619741	2.856499	2.858469	2774.55859	-11.87393	0	212.638197	1.019833	31.074213	29.242274	0.01656	43.424909
59:51.6	1300	1306.079834	100	101.398558	0.081128	0.071656	15.990697	0.261314	227.139119	1050	4.048242	1006.767795	2.959134	18.313985	2.823174	2.837861	2758.409817	-11.877989	0	212.71084	1.019833	28.877705	28.152053	0.016696	43.348443
59:51.7	1300	1285.594971	100	100.0132	0.07589	0.078461	15.995858	0.08239	226.939925	1050	4.031076	1039.731513	2.769567	19.606885	2.855495	2.848165	2723.656729	-11.880019	0	212.533264	1.019833	28.498643	29.598031	0.016605	43.322178
59:51.8	1300	1326.348022	100	97.242485	0.078545	0.062227	15.960763	0.070913	226.861334	1058.784101	4.045318	1074.755464	2.878041	18.903079	2.85299	2.843013	2887.681028	-11.85972	0	212.689063	1.019833	30.227983	29.8878	0.016514	43.410184
59:51.9	1300	1308.343994	100	101.398558	0.076698	0.055668	15.964745	0.263158	227.11516	1058.86667	4.058793	1025.309886	2.898907	18.770466	2.857102	2.858469	2791.059521	-11.837392	0	212.776162	1.019833	29.453469	27.38603	0.016514	43.32856
59:52.0	1300	1297.774414	100	102.783916	0.080476	0.081576	15.903531	0.216224	227.145812	1058.949119	4.076125	975.864309	2.828953	19.240556	2.846409	2.853317	2928.166283	-11.86784	0	212.816705	1.019565	28.98835	31.336646	0.016514	43.559813
