Aalto University
Internal Combustion Engine Laboratory
Engine: 44AWI
Project: Hercules
Reference: RCP Test Run
Operator: Jari
2017.05.23

Time(hh:mm:ss)	SpeedSet(rpm)	SpeedMea(rpm)	TorqSet(Nm)	TorqMea(Nm)	InManPSet(bar)	InManPMea(bar)	InManTMea(C)	ExManPMea(bar)	ExManTMea(C)	FRailPSet(bar)	FRailPCtrl(V)	FRailPMea(bar)	InjStrtSet(deg)	InjQuantSet(mg)	VGTPosSet(V)	VGTPosMea(V)	FMfClc(g/h)	AFRMea(AFR)	NOxMea(Vol%)	ExAirTMea(C)	AmbPMea(bar)	AmbRHMea(%RH)	AmbTMea(C)	IntPMea(bard)	ChargeAirTMea(C)	
15:12:01.984	1600.000000	1605.072021	200.000000	201.144320	0.232609	0.109452	15.766744	0.145926	388.487961	1250.000000	3.506249	1251.935450	-4.000000	35.447209	3.503465	3.476722	6101.835887	-11.886109	0.000000	357.786089	1.009120	20.409265	31.666582	0.016560	55.229789
15:12:02.067	1600.000000	1622.652222	200.000000	195.602888	0.244914	0.091825	15.675325	0.645190	388.460942	1250.000000	3.486667	1188.068246	-4.000000	34.872711	3.508550	3.461265	6005.918427	-11.882049	0.000000	357.683695	1.009388	22.148850	32.160050	0.016650	55.124213
15:12:02.167	1600.000000	1604.685669	200.000000	201.144320	0.238834	0.134704	15.663403	-0.081982	388.169409	1250.000000	3.512302	1239.574056	-4.000000	35.268212	3.493991	3.471570	5934.179835	-11.886109	0.000000	357.504711	1.009388	20.476882	31.898971	0.016560	55.127073
15:12:02.267	1600.000000	1591.343018	200.000000	201.144320	0.251814	0.497909	15.707743	0.077061	388.171562	1250.000000	3.477868	1200.429640	-4.000000	35.040243	3.485230	3.450961	6138.231742	-11.880019	0.000000	357.650276	1.009388	20.259690	34.406479	0.016514	55.369306
15:12:02.367	1600.000000	1621.271118	200.000000	201.144320	0.258561	0.143969	15.803392	0.084235	388.085927	1250.000000	3.500606	1221.031964	-4.000000	35.654683	3.507775	3.471570	6075.253709	-11.876975	0.000000	357.440384	1.009120	21.173535	30.731287	0.016514	55.340845
15:12:02.467	1600.000000	1605.522949	200.000000	201.144320	0.251790	0.102811	15.739534	0.142851	387.952070	1250.000000	3.478534	1216.911500	-4.000000	34.797629	3.707403	3.466418	6031.412284	-11.872915	0.000000	357.394495	1.008852	19.659338	33.000668	0.016605	55.420091
15:12:02.422	1600.000000	1620.679932	200.000000	198.373604	0.253744	0.123472	15.761832	0.498444	388.023433	1250.000000	3.485563	1214.851267	-4.000000	35.385854	3.548845	3.461265	6260.970804	-11.871900	0.000000	357.312563	1.009120	22.228761	31.936268	0.016560	55.323794
15:12:02.522	1600.000000	1605.329712	200.000000	201.144320	0.252424	0.141263	15.800135	-0.012708	388.021617	1250.000000	3.480917	1190.128478	-4.000000	34.737418	3.530215	3.471570	6173.810584	-11.876975	0.000000	357.267228	1.009388	18.350039	32.467033	0.016605	55.388532
15:12:02.622	1600.000000	1603.206421	200.000000	199.758962	0.252679	0.150692	15.654905	0.113543	388.321100	1250.000000	3.477044	1237.513824	-4.000000	34.648361	3.541641	3.456113	6045.317522	-11.868855	0.000000	357.379164	1.009120	20.134702	31.233362	0.016605	55.427276
15:12:02.722	1600.000000	1589.130249	200.000000	199.758962	0.259661	0.113142	15.777397	0.088744	388.451685	1250.000000	3.460723	1212.791035	-4.000000	34.632450	3.553234	3.481874	6220.692806	-11.870885	0.000000	357.511902	1.009656	20.081428	31.534607	0.016650	55.545582
