Aalto University
Internal Combustion Engine Laboratory
Engine: 44AWI
Project: Hercules
Reference: RCP Test Run
Operator: Jari
2017.05.23

Time(hh:mm:ss)	SpeedSet(rpm)	SpeedMea(rpm)	TorqSet(Nm)	TorqMea(Nm)	InManPSet(bar)	InManPMea(bar)	InManTMea(C)	ExManPMea(bar)	ExManTMea(C)	FRailPSet(bar)	FRailPCtrl(V)	FRailPMea(bar)	InjStrtSet(deg)	InjQuantSet(mg)	VGTPosSet(V)	VGTPosMea(V)	FMfClc(g/h)	AFRMea(AFR)	NOxMea(Vol%)	ExAirTMea(C)	AmbPMea(bar)	AmbRHMea(%RH)	AmbTMea(C)	IntPMea(bard)	ChargeAirTMea(C)	
15:10:10.918	1600.000000	1595.214478	200.000000	199.758962	0.231105	0.099450	16.748786	0.483892	379.878005	1400.000000	3.405139	1383.790324	4.500000	31.160368	3.343982	3.317007	5876.708940	-11.869870	0.000000	347.924868	1.009120	21.128458	32.690815	0.016741	56.513546
15:10:10.988	1600.000000	1589.951416	200.000000	201.144320	0.235772	0.135770	16.720149	0.080136	379.827049	1400.000000	3.423275	1414.693810	4.500000	31.230482	3.329004	3.296398	5882.332865	-11.888139	0.000000	347.940587	1.008852	20.655143	33.766691	0.016469	56.420405
15:10:11.088	1600.000000	1587.175537	200.000000	196.988246	0.228836	0.121832	16.652215	0.032177	379.753044	1400.000000	3.392652	1414.693810	4.500000	31.196040	3.332340	3.306702	5759.829419	-11.888139	0.000000	347.859126	1.009120	20.810866	34.110972	0.016469	56.417156
15:10:11.188	1600.000000	1602.821045	200.000000	199.758962	0.222489	0.079773	16.725821	0.534106	379.479960	1400.000000	3.408040	1369.368697	4.500000	31.029874	3.351968	3.306702	5934.342573	-11.780554	0.000000	347.785516	1.009923	22.568892	32.515806	0.016650	56.573827
15:10:11.197	1600.000000	1606.683960	200.000000	198.373604	0.233463	0.190292	16.690463	-0.047960	379.217686	1400.000000	3.409265	1379.669859	4.500000	31.141203	3.347399	3.317007	5877.646693	-11.885094	0.000000	347.604067	1.009656	18.440194	33.634717	0.016514	56.483851
15:10:11.297	1600.000000	1619.040039	200.000000	199.758962	0.221310	0.146674	16.634137	0.100016	379.150309	1400.000000	3.385938	1348.766373	4.500000	31.111428	3.326436	3.317007	6034.782259	-11.861750	0.000000	347.534380	1.009120	19.704416	34.073675	0.016469	56.506901
15:10:11.397	1600.000000	1602.821045	200.000000	199.758962	0.218776	0.095268	16.663393	0.502338	378.797544	1400.000000	3.388965	1361.127768	4.500000	31.357784	3.384615	3.286094	5889.115132	-11.869870	0.000000	347.581051	1.009656	21.991079	32.774016	0.016469	56.526222
15:10:11.497	1600.000000	1594.197144	200.000000	199.758962	0.234928	0.107730	16.678283	-0.126046	378.732060	1400.000000	3.370532	1361.127768	4.500000	31.240509	3.368513	3.317007	5911.886162	-11.876975	0.000000	347.265167	1.008852	20.946098	33.763822	0.016424	56.549850
15:10:11.597	1600.000000	1607.200195	200.000000	198.373604	0.228943	0.144543	16.594106	0.142031	378.378984	1400.000000	3.372958	1361.127768	4.500000	31.844114	3.344558	3.286094	6080.620533	-11.877989	0.000000	347.250857	1.009388	20.040449	35.533997	0.016560	56.497161
15:10:11.697	1600.000000	1603.720703	200.000000	201.144320	0.216807	0.071492	16.710256	0.323619	378.322328	1400.000000	3.369719	1381.730092	4.500000	31.226107	3.350914	3.317007	5944.374345	-11.869870	0.000000	347.332004	1.008852	19.485175	32.905991	0.016696	56.652956
